platform,post_id,comment,topic,neg_sentiment (%),pos_sentiment (%),neu_sentiment (%),sentiment_label,actionable_insight,2025-09-03
instagram,DM7Bm33so7t,Dest was niet goed gisteren. Wel mooie goal maar voor de rest was ie minder .,Dest – tactical adjustment,13.51,16.05,70.44,neutral,→ Design merchandise incorporating the PSV colors.,2025-09-03
instagram,DND-4nTsBnp,Saudades do Jonathan Reis,Jonathan Reis – nostalgia,7.57,44.57,47.87,neutral,→ Encourage fans to share their dual club support.,2025-09-03
instagram,DND-4nTsBnp,En alleen Depay heeft het gehaald!,Depay – performance critique,11.94,14.43,73.63,neutral,→ Increase fan enthusiasm with more frequent updates.,2025-09-03
instagram,DND-4nTsBnp,👏👏👏👏👏,Fan enthusiasm,8.45,83.1,8.45,positive,→ Highlight Dest’s positive moments in key messages.,2025-09-03
instagram,DND-4nTsBnp,❤️🤍🤝🏽💙❤️ mijn twee clubs 😍😍 ook al wonnen PSV van Barca in hun eigen jeugd toernooi,Dual club support,8.42,83.16,8.42,positive,→ Create content that captures the nostalgia around Reis.,2025-09-03
instagram,DND-4nTsBnp,❤️🤍❤️,Fan enthusiasm,8.43,83.15,8.43,positive,→ Analyze Depay’s performance and develop training strategies.,2025-09-03
instagram,DND-4nTsBnp,🔥🔥,Fan enthusiasm,8.47,83.06,8.47,positive,→  Generate more content showcasing Dest’s skills.,2025-09-03
instagram,DND-4nTsBnp,😮😮😮🔥👏,Fan enthusiasm,8.44,83.12,8.44,positive,→ Recommendation: Amplify positive fan reactions to increase team morale.,2025-09-03
instagram,DND-4nTsBnp,Memphis Deepaaij,Memphis Depay mention,8.36,13.22,78.42,neutral,→ Recommendation: Investigate Scofieldd's fitness levels and adjust training accordingly.,2025-09-03
instagram,DM6Dvv6MUwJ,🙌,Fan support,8.53,82.94,8.53,positive,→ Recommendation: Develop content celebrating PSV's success and dominance.,2025-09-03
instagram,DM6Dvv6MUwJ,Dat is 1! 👏,Fan support,8.5,83.01,8.5,positive,→ Recommendation: Recognize and appreciate player contributions through targeted campaigns.,2025-09-03
instagram,DM6Dvv6MUwJ,❤️🙌,Fan support,8.47,83.05,8.47,positive,→ Recommendation: Encourage fan engagement through interactive contests and polls.,2025-09-03
instagram,DM6Dvv6MUwJ,mantap,Player fitness,8.22,17.91,73.87,neutral,→ Recommendation: Evaluate player stamina and incorporate drills to improve endurance.,2025-09-03
instagram,DM6Dvv6MUwJ,Toppers 😍😍🔥,Fan enthusiasm,8.44,83.11,8.44,positive,→ Recommendation: Create a visual campaign showcasing fan support and excitement.,2025-09-03
instagram,DM6Dvv6MUwJ,Proficiat,Player appreciation,7.73,58.98,33.29,positive,→ Recommendation: Implement a system for acknowledging player achievements publicly.,2025-09-03
instagram,DM6Dvv6MUwJ,🔥🔥🔥👏,Fan enthusiasm,8.44,83.13,8.44,positive,→ Recommendation: Capitalize on fan enthusiasm with merchandise and experiences.,2025-09-03
instagram,DNFg8kwMV0k,Niet alleen morgen. ALTIJD!,Player request,8.17,18.07,73.76,neutral,→ Recommendation: Facilitate connections between talented young players and the club.,2025-09-03
instagram,DNFg8kwMV0k,@mirkolaumen @britt_lmn @ton.theunissen.75 @marly_laumen 💪,Player support request,7.59,44.29,48.12,neutral,→ Recommendation: Coordinate a coordinated support campaign for player requests.,2025-09-03
instagram,DNFg8kwMV0k,🔥🔥,Fan enthusiasm,8.47,83.06,8.47,positive,→ Recommendation: Highlight player performance in promotional materials.,2025-09-03
instagram,DNFg8kwMV0k,Mauro JR ready to cook!⭐️🇧🇷1️⃣7️⃣🔛🔝,Player performance (Mauro JR),7.53,45.88,46.59,neutral,→ Recommendation: Establish a formal channel for player acknowledgements and thanks.,2025-09-03
instagram,DNFg8kwMV0k,🫡 okidoki ❤️,Player acknowledgment,7.98,71.13,20.89,positive,→ Recommendation: Establish a player funding program for aspiring talent.,2025-09-03
instagram,DNFg8kwMV0k,"Hello, I'm Alireza. I'm 17 years old and I'm a good midfielder, but I don't have good financial conditions. Please support me so I can become a footballer.",Player funding request,15.33,34.16,50.51,neutral,→ Recommendation: Ignore irrelevant comments to maintain a focused online environment.,2025-09-03
instagram,DNFg8kwMV0k,,Irrelevant comment,72.29,8.11,19.6,negative,→ Recommendation: Monitor and respond to rival fan activity to mitigate negative influence.,2025-09-03
instagram,DNFg8kwMV0k,⚫️⚫️,Rival fan activity,8.94,11.69,79.38,neutral,→ Recommendation: Reinforce fan enthusiasm with interactive social media challenges.,2025-09-03
instagram,DNDuqASsKRJ,🔥🙌,Fan enthusiasm,8.43,83.14,8.43,positive,→ Recommendation: Acknowledge Denzel Dumfries’ performance through video highlights.,2025-09-03
instagram,DNDuqASsKRJ,👏👏❤️,Fan enthusiasm,8.42,83.15,8.42,positive,UNKNOWN,2025-09-03
instagram,DNDuqASsKRJ,So proud of you Denzel🔥🔥🔥what a player😢😢🙌🙌🙌❤️,Player performance (Denzel Dumfries),8.4,83.2,8.4,positive,UNKNOWN,2025-09-03
instagram,DNDuqASsKRJ,unnecessary glaze😕,Schouten’s haircut,76.57,8.23,15.2,negative,→  Highlight Kane’s dedication in upcoming content.,2025-09-03
instagram,DNDuqASsKRJ,Χασάν λένε τον μπαμπά του,Hassen’s father,12.97,11.51,75.52,neutral,→  Investigate fan concerns regarding the new season card policy.,2025-09-03
instagram,DNDuqASsKRJ,DDF🔥🔥🔥,Dujo’s celebration,8.53,82.95,8.53,positive,→  Encourage fan discussion about Schouten's potential.,2025-09-03
instagram,DNDuqASsKRJ,DD🔥,Dujo’s celebration,8.53,82.94,8.53,positive,→  Analyze and respond to fan sentiment regarding Scofieldd’s performance.,2025-09-03
instagram,DNDuqASsKRJ,🔥🔥,Fan enthusiasm,8.47,83.06,8.47,positive,→  Promote fan excitement through engaging visuals.,2025-09-03
instagram,DNDuqASsKRJ,Che giocatore ❤️,Loc’s appreciation,8.48,81.64,9.88,positive,→  Verify key player desires through polls and surveys.,2025-09-03
instagram,DNDG0BlsamC,👍👍,Positive support,8.52,82.96,8.52,positive,→  Address fan anxieties about championship prospects.,2025-09-03
instagram,DNDG0BlsamC,🔥🔥🔥🙌,Fan enthusiasm,8.43,83.15,8.43,positive,→  Generate content celebrating the collective fan wish for Sparta victory.,2025-09-03
instagram,DNDG0BlsamC,,Irrelevant comment,72.29,8.11,19.6,negative,→  Conduct a fan survey regarding season card preferences.,2025-09-03
instagram,DNDG0BlsamC,👍🏽,Positive support,8.52,82.95,8.52,positive,→  Explore fan interest in Schouten’s development.,2025-09-03
instagram,DNDG0BlsamC,👍🏼,Positive support,8.5,82.99,8.5,positive,→  Acknowledge and validate fan excitement.,2025-09-03
instagram,DNDG0BlsamC,9 Aug weer kampioen?,Championship ambition,8.29,14.68,77.03,neutral,→  Confirm player engagement metrics.,2025-09-03
instagram,DNDG0BlsamC,Op naar #27 samen.  Come on psv en sparta verslaan ❤️🤍❤️,Sparta victory wish,8.48,83.04,8.48,positive,→  Quantify fan expectations for championship success.,2025-09-03
instagram,DNDG0BlsamC,Verschrikkelijk die nieuwe seizoenskaart regeling. Wat was er mis met de fysieke seizoenskaart? 😖,Season card grievance,63.97,7.79,28.24,negative,→  Feature Kane’s personal journey and aspirations.,2025-09-03
instagram,DNCz_8sMHf2,Zou leuk zijn😍😍😍,Schouten desire,8.27,77.59,14.13,positive,UNKNOWN,2025-09-03
instagram,DNCz_8sMHf2,@loisphilippus_ omggg van schouten😍 ik wil die zo graag! eén van me lievelings spelers❤️,Schouten preference,8.45,83.11,8.45,positive,UNKNOWN,2025-09-03
instagram,DNCz_8sMHf2,😮😮😮🔥👏,Fan excitement,8.41,83.17,8.41,positive,UNKNOWN,2025-09-03
instagram,DNCz_8sMHf2,✅,Confirmation,7.83,66.06,26.11,positive,UNKNOWN,2025-09-03
instagram,DNCz_8sMHf2,Wat is eigenlijk de kans dat je dit wint? Heb volgens mij de afgelopen 5 jaar iedere keer meegedaan maar nog niet echt geluk gehad,Championship probability,10.26,17.05,72.69,neutral,UNKNOWN,2025-09-03
instagram,DNDtuEUMBVT,Mooi te zien dat hij zijn droom achterna kan gaan! Geniet van deze uitdaging Kane!,Kane’s ambition,7.85,65.86,26.29,positive,UNKNOWN,2025-09-03
instagram,DNDtuEUMBVT,Wow!! @maikelkane @katjaaerts wat zullen jullie trots zijn! Gefeliciteerd Kane! 🔥,Kane congratulations,8.43,83.14,8.43,positive,→ Schedule a social media post celebrating Kane’s achievement and positive sentiment.,2025-09-03
instagram,DNDtuEUMBVT,Mooi werk...,Kane support,7.96,24.31,67.72,neutral,→ Create content highlighting Kane’s contributions and celebrating his success.,2025-09-03
instagram,DNDtuEUMBVT,Congrats Kane!,Kane congratulations,8.42,83.16,8.42,positive,"→ Post a message of congratulations to Kane, acknowledging his achievement.",2025-09-03
instagram,DNDtuEUMBVT,🔥🔥,General support,8.49,82.07,9.44,positive,→ Boost fan engagement with positive feedback and appreciation.,2025-09-03
instagram,DNDtuEUMBVT,Intelligency to south Africa and indonesia,Incorrect location mention,30.05,8.91,61.04,neutral,→ Correct inaccurate location mentions in online discussions.,2025-09-03
instagram,DNDtuEUMBVT,Gefeliciteerd!! Super knap 🤩,Kane congratulations,8.41,83.19,8.41,positive,→ Promote positive fan reactions and acknowledge Kane’s value.,2025-09-03
instagram,DNDtuEUMBVT,Trots b,Kane support,8.66,17.21,74.13,neutral,→ Organize a campaign to reinforce fan enthusiasm and pride.,2025-09-03
instagram,DNDtuEUMBVT,Toppertjeeeeee 🔥❤️,Kane support,8.26,77.88,13.86,positive,→ Increase fan participation through interactive content.,2025-09-03
instagram,DNDtuEUMBVT,🙌🙌🙌,General support,8.46,83.09,8.46,positive,→ Reinforce PSV’s club colors through visual content.,2025-09-03
instagram,DNBiq5-sM44,❤️🤍,Club colors,8.52,82.97,8.52,positive,→ Investigate and address specific recruitment needs with defenders.,2025-09-03
instagram,DNBiq5-sM44,Announce Man,Demands for signings,8.03,22.64,69.33,neutral,→ Amplify positive fan reactions and build excitement.,2025-09-03
instagram,DNBiq5-sM44,announce man,Demands for signings,9.15,23.05,67.8,neutral,→ Continue to encourage fan support and enthusiasm.,2025-09-03
instagram,DNBiq5-sM44,Dat ze maar verdedigers aantrekken. Vooral centraal maar steward ziet dat niet in 😂😂😂,Defensive recruitment,14.31,22.2,63.48,neutral,→ Analyze fan requests for signings and incorporate into planning.,2025-09-03
instagram,DNBiq5-sM44,😮😮😮👏,General support,8.54,82.88,8.58,positive,→ Strengthen defensive recruitment strategies based on feedback.,2025-09-03
instagram,DNBiq5-sM44,❤️❤️,General support,8.55,82.9,8.55,positive,→ Encourage further fan support for the team’s success.,2025-09-03
instagram,DNBZnekMHNM,Ahhh zo schattig kindje,Child admiration,8.32,77.47,14.21,positive,→ Highlight Earnest’s fitness development and performance.,2025-09-03
instagram,DNBZnekMHNM,❤️🤍❤️,Club colors,8.47,83.06,8.47,positive,→ Promote positive reactions and team spirit across channels.,2025-09-03
instagram,DNBZnekMHNM,Let earnest cook🔥🔥,Fitness adjustment (Let Earnest),7.57,48.92,43.51,positive,→ Recognize Kane's leadership role and dedication.,2025-09-03
instagram,DNBZnekMHNM,🔥🔥🔥🙌,General support,8.46,83.09,8.46,positive,UNKNOWN,2025-09-03
instagram,DNBZnekMHNM,Captain! 💪🏼❤️🤍,Captain support,8.45,83.11,8.45,positive,UNKNOWN,2025-09-03
instagram,DNBZnekMHNM,🙌🔥,Fan enthusiasm,8.43,83.13,8.43,positive,Implement fan-requested autograph sessions.,2025-09-03
instagram,DNBZnekMHNM,❤️🤍❤️🤍,Fan support,8.5,82.99,8.5,positive,Increase social media content highlighting fan support.,2025-09-03
instagram,DNBZnekMHNM,❤️,Fan support,8.32,78.88,12.8,positive,Assess Scofieldd’s fitness and adjust training accordingly.,2025-09-03
instagram,DNCqQKfsIqT,❤️❤️❤️,Fan support,8.48,83.05,8.48,positive,Create content celebrating PSV’s fan base.,2025-09-03
instagram,DNCqQKfsIqT,👏👏👏,Fan enthusiasm,8.45,83.09,8.45,positive,Schedule more open training events for fan interaction.,2025-09-03
instagram,DNCqQKfsIqT,Announce Man,Request training session,12.3,13.19,74.51,neutral,Investigate strategies to address the Ajax rivalry.,2025-09-03
instagram,DNCqQKfsIqT,"The bookies get fraustrated when i post games up for sale, 😂😂 they know it’s always a win no doubts 💯💰💰",Betting market criticism,14.69,47.26,38.05,positive,Boost social media engagement with fan-generated content.,2025-09-03
instagram,DM-6eL-CHR9,🔥🔥🔥🔥🔥🔥,Fan enthusiasm,8.48,83.05,8.48,positive,Show appreciation for Luuk Hostkamp through dedicated campaigns.,2025-09-03
instagram,DM-6eL-CHR9,Bedankt voor alles luuk 🔥🔥🔥🔴⚪💡🐐,Luuk Hostkamp appreciation,8.52,82.47,9.0,positive,Organize fan-focused events to boost support.,2025-09-03
instagram,DM-6eL-CHR9,❤️🤍🖤,Fan support,8.44,81.3,10.25,positive,Highlight iconic PSV moments in marketing materials.,2025-09-03
instagram,DM-6eL-CHR9,👏👏👏🔥,Fan enthusiasm,8.44,83.12,8.44,positive,Plan fan interaction opportunities through events.,2025-09-03
instagram,DM-6eL-CHR9,Icon❤️,Icon appreciation,8.52,82.96,8.52,positive,Develop content celebrating goal celebrations.,2025-09-03
instagram,DM-6eL-CHR9,❤️🙌🏻,Fan support,8.45,83.11,8.45,positive,Expand autograph session requests to accommodate demand.,2025-09-03
instagram,DM-6eL-CHR9,Held!,Goal celebration,8.21,76.94,14.85,positive,Generate content reflecting fan enthusiasm.,2025-09-03
instagram,DM-6eL-CHR9,Announce Man. ❤️,Request training session,7.59,53.2,39.21,positive,Plan fan interactions with players.,2025-09-03
instagram,DM-6eL-CHR9,👏👏,Fan enthusiasm,8.46,83.08,8.46,positive,Create celebratory content relating to fan excitement.,2025-09-03
instagram,DNBCGVUMhIl,Oh ja graag 🔥,Fan enthusiasm,8.52,82.31,9.17,positive,Explore options for fan-requested autograph sessions.,2025-09-03
instagram,DNBCGVUMhIl,🔥🙌🙌🙌,Fan enthusiasm,8.43,83.15,8.43,positive,Develop content emphasizing fan support.,2025-09-03
instagram,DNBCGVUMhIl,Mag ik alsjeblieft?,Request autograph session,8.38,13.83,77.79,neutral,UNKNOWN,2025-09-03
instagram,DNBCGVUMhIl,Jaaaaaaaaa natuurlijk ❤️🤍,Fan enthusiasm,8.47,83.06,8.47,positive,UNKNOWN,2025-09-03
instagram,DNBCGVUMhIl,❤️❤️❤️ graaaaag,Fan request: Open training,7.9,69.2,22.89,positive,→ Schedule an open training session for fans to connect with the team.,2025-09-03
instagram,DNBCGVUMhIl,Omg dat wil ik,Fan request: Interaction,7.73,38.9,53.37,neutral,→ Create interactive polls and Q&A sessions on social media.,2025-09-03
instagram,DNBCGVUMhIl,STOP MET SLAPEN EN HAAL ITAKURA 😮‍💨,"Player mention: Itakura, Bologna match",37.3,10.72,51.99,neutral,→ Incorporate Itakura’s performance into upcoming match analyses.,2025-09-03
instagram,DNBCGVUMhIl,❤️ fotogeniek hoor pap,Compliment: Vaná,8.51,82.99,8.51,positive,→ Highlight Vaná's aesthetic qualities in promotional materials.,2025-09-03
instagram,DNBPy8JsoC9,🔥🔥🔥🔴⚪💡,Fan enthusiasm,8.48,83.04,8.48,positive,"→ Generate high-energy, positive content to amplify fan excitement.",2025-09-03
instagram,DNBPy8JsoC9,Gefeliciteerd Jerdy🙌🏻,"Player mention: De Jong, Bologna match",8.42,81.04,10.53,positive,→ Analyze De Jong’s contribution in post-match reports.,2025-09-03
instagram,DNBPy8JsoC9,Gefeliciteerd Jerdy! Will never be forgotten in Bologna ❤️💙,"Player mention: De Jong, Bologna match",8.45,83.1,8.45,positive,→ Expand on De Jong's impact with video highlights.,2025-09-03
instagram,DNBPy8JsoC9,Lets gooo!,Fan enthusiasm,8.45,83.1,8.45,positive,→ Develop more enthusiastic social media campaigns.,2025-09-03
instagram,DNBPy8JsoC9,😍😍😍,Fan enthusiasm,8.42,83.16,8.42,positive,→ Increase the frequency of positive fan engagement activities.,2025-09-03
instagram,DNBPy8JsoC9,Gefeliciteerd Jerdy! 🙌💙,"Player mention: De Jong, Bologna match",8.48,83.04,8.48,positive,→ Boost team morale with supportive messages.,2025-09-03
instagram,DNBPy8JsoC9,Welkom jerdy fijn dat je blijft !😄,Player welcome: Jerdy,8.27,77.98,13.75,positive,→ Reinforce Jerdy’s commitment through public acknowledgement.,2025-09-03
instagram,DNBPy8JsoC9,🔥🔥🔥🔥🔥,Fan enthusiasm,8.47,83.05,8.47,positive,→  Elevate Jerdy’s role within team communications.,2025-09-03
instagram,DNBPy8JsoC9,❤️❤️❤️❤️🙌🙌,Fan enthusiasm,8.41,83.18,8.41,positive,→  Maintain consistent positive fan engagement strategies.,2025-09-03
instagram,DNBPy8JsoC9,❤️,Fan enthusiasm,8.47,83.07,8.47,positive,→  Promote fan enthusiasm through celebratory graphics.,2025-09-03
instagram,DM-PoKGsYSt,Haal nou maar 3 spelers meer....,Player request: New signings,8.26,15.44,76.29,neutral,→  Increase fan participation through interactive games.,2025-09-03
instagram,DM-PoKGsYSt,@c.lamine11,Player mention: Lamine,8.41,11.79,79.8,neutral,→  Acknowledge fan perspectives on player performance.,2025-09-03
instagram,DM-PoKGsYSt,👏👏👏👏,Fan enthusiasm,8.45,83.1,8.45,positive,→  Directly address player criticism with detailed evaluations.,2025-09-03
instagram,DM-PoKGsYSt,"3-1 winst, Denk ik",Match result: 3-1,8.09,18.66,73.25,neutral,→  Respond to fan feedback regarding desired transfers.,2025-09-03
instagram,DM-PoKGsYSt,Pffff bruma😔,Player criticism: Bruma,76.65,8.22,15.13,negative,→  Monitor and address fan concerns about specific players.,2025-09-03
